2009-08-15,Premier League,,H,Arsenal,L,1-6,,
2009-08-23,Premier League,,A,Burnley,L,1-0,,
2009-08-30,Premier League,,H,Wigan,W,2-1,,
2009-09-13,Premier League,,A,Fulham,L,2-1,,
2009-09-20,Premier League,,H,Blackburn,W,3-0,,
2009-09-23,EFL Cup,,A,Hull,W,0-4,,
2009-09-26,Premier League,,A,Portsmouth,W,0-1,,
2009-10-04,Premier League,,H,Stoke,D,1-1,,
2009-10-17,Premier League,,H,Wolves,D,1-1,,
2009-10-25,Premier League,,A,Bolton,L,3-2,,
2009-10-27,EFL Cup,,A,Tottenham,L,2-0,,
2009-10-31,Premier League,,H,Aston Villa,D,1-1,,
2009-11-08,Premier League,,A,West Ham,W,1-2,,
2009-11-21,Premier League,,A,Manchester Utd,L,3-0,,
2009-11-25,Premier League,,A,Hull,L,3-2,,
2009-11-29,Premier League,,H,Liverpool,L,0-2,,
2009-12-06,Premier League,,H,Tottenham,D,2-2,,
2009-12-12,Premier League,,A,Chelsea,D,3-3,,
2009-12-20,Premier League,,H,Birmingham,D,1-1,,
2009-12-26,Premier League,,A,Sunderland,D,1-1,,
2009-12-28,Premier League,,H,Burnley,W,2-0,,
2010-01-02,FA Cup,,H,Carlisle,W,3-1,,
2010-01-09,Premier League,,A,Arsenal,D,2-2,,
2010-01-16,Premier League,,H,Manchester City,W,2-0,,
2010-01-23,FA Cup,,H,Birmingham,L,1-2,,
2010-01-27,Premier League,,H,Sunderland,W,2-0,,
2010-01-30,Premier League,,A,Wigan,W,0-1,,
2010-02-06,Premier League,,A,Liverpool,L,1-0,,
2010-02-10,Premier League,,H,Chelsea,W,2-1,,
2010-02-20,Premier League,,H,Manchester Utd,W,3-1,,
2010-02-28,Premier League,,A,Tottenham,L,2-1,,
2010-03-07,Premier League,,H,Hull,W,5-1,,
2010-03-13,Premier League,,A,Birmingham,D,2-2,,
2010-03-20,Premier League,,H,Bolton,W,2-0,,
2010-03-24,Premier League,,A,Manchester City,W,0-2,,
2010-03-27,Premier League,,A,Wolves,D,0-0,,
2010-04-04,Premier League,,H,West Ham,D,2-2,,
2010-04-14,Premier League,,A,Aston Villa,D,2-2,,
2010-04-17,Premier League,,A,Blackburn,W,2-3,,
2010-04-25,Premier League,,H,Fulham,W,2-1,,
2010-05-01,Premier League,,A,Stoke,D,0-0,,
2010-05-09,Premier League,,H,Portsmouth,W,1-0,,
2010-08-14,Premier League,,A,Blackburn,L,1-0,,
2010-08-21,Premier League,,H,Wolves,D,1-1,,
2010-08-25,EFL Cup,,H,Huddersfield,W,5-1,,
